t,agent_id,type,x,y,v,serving_cell,snr_dB,los
125,ped3,ped,793.6071377725751,501.14752725312553,0.7605491406012798,g2,8.0,0
125,ped4,ped,498.76142053064285,530.3717404707987,0.6671723630134915,g0,0.6,0
125,veh1,veh,677.6712783789995,414.73718285098363,12.697113168126748,g0,6.6,0
125,veh2,veh,320.61806347863313,485.7514647718135,3.100865751502998,g0,-2.1,0
125,veh3,veh,839.6300798113303,374.8975249761029,10.727087393902888,g2,4.7,0
126,ped0,ped,365.45783709975296,445.9605691032838,0.5846544350356756,g0,-0.5,0
126,ped1,ped,656.3790893657091,563.6147877450835,1.385314531766926,g2,0.8,0
126,ped2,ped,592.5067117632237,288.5135199505189,0.8942567127084153,g0,59.7,1
126,ped3,ped,793.4102680713283,500.5307010241376,0.6526615751879742,g2,8.0,0
126,ped4,ped,501.066353943422,530.205090498999,0.7910038826630463,g0,0.6,0
126,veh1,veh,668.7116769964953,424.9003491315124,13.55686561889372,g0,6.3,0
126,veh2,veh,318.1974035926504,485.3953030927754,2.721024609331935,g0,-2.2,0
126,veh3,veh,844.7658454411505,370.29076524806675,6.900693058093722,g2,4.6,0
127,ped0,ped,366.5354491902,445.985824448055,1.0779163717093372,g0,-0.5,0
127,ped1,ped,657.5327855966839,563.2238776210202,1.2181850377787486,g2,0.8,0
127,ped2,ped,588.6612073264863,287.8678032804232,1.2305555555555556,g0,58.7,1
127,ped3,ped,793.0301089103737,499.33959777065604,1.2603019928389563,g2,7.9,0
127,ped4,ped,503.69975352875224,529.8581688839603,0.9096454016632762,g0,0.7,0
127,veh1,veh,660.6688741336496,434.8191917399022,12.772933256815962,g0,5.9,0
127,veh2,veh,660.721203358209,565.8422434701492,0.0,g2,0.9,0
127,veh3,veh,846.9213549655822,367.8432594807271,3.26567517464811,g2,4.5,0
128,ped0,ped,367.5115401253231,446.0087005027254,0.9763665502396178,g0,-0.4,0
128,ped1,ped,658.6024225875263,562.8614495246401,1.1294270910447812,g2,0.9,0
128,ped2,ped,590.2079479488139,290.7483285712113,1.2305555555555556,g0,59.5,1
128,ped3,ped,792.6596026459923,498.1787386825006,1.228300752206964,g2,7.9,0
128,ped4,ped,505.61959621804345,529.5698408610264,0.6645031286997901,g0,0.7,0
128,veh1,veh,652.1864683001801,445.4332758820729,13.587603076248273,g0,5.4,0
128,veh2,veh,662.4165952572428,565.2675131291918,1.7897194640710952,g2,1.0,0
128,veh3,veh,847.3238766209528,363.7640769391087,4.257499809937002,g2,4.3,0
129,ped0,ped,368.35212789918614,446.0284008515128,0.840825127462934,g0,-0.4,0
129,ped1,ped,659.3354710430219,562.6130686640734,0.7740240771151731,g2,0.9,0
129,ped2,ped,594.2369739781404,292.06066599772015,1.2305555555555556,g0,60.9,1
129,ped3,ped,792.448584178383,497.517581964133,0.6995675037424046,g2,7.8,0
129,ped4,ped,508.2601360943446,529.1732762642193,0.9139535333004056,g0,0.8,0
129,veh1,veh,644.0261982819626,455.7849613570739,13.176023152497441,g0,4.9,0
129,veh2,veh,665.5001454826738,564.2222032669519,3.25511161168106,g2,1.1,0
129,veh3,veh,843.9169802474878,359.4608036483315,5.506790171625063,g2,4.0,0
130,ped0,ped,369.2193271525981,446.04872487749986,0.8674441211949063,g0,-0.4,0
130,ped1,ped,660.7032821623151,562.1496093929215,1.4442684263800039,g2,0.9,0
130,ped2,ped,594.5902298824221,293.028883395482,0.900165463880209,g0,61.2,1
130,ped3,ped,792.1559888350652,496.6008310314339,0.9700108064019877,g2,7.8,0
130,ped4,ped,511.57419594523634,528.6755603159169,1.147074784772558,g0,0.8,0
130,veh1,veh,636.0585939049009,466.20006854730104,13.28544275917004,g0,4.4,0
130,veh2,veh,670.2654748959692,562.6067777125186,5.030460985773244,g2,1.3,0
130,veh3,veh,839.1575188205246,354.1812988322241,7.107259651637606,g2,3.7,0
131,ped0,ped,370.04045031344816,446.06796904588913,0.821355018300528,g0,-0.4,0
131,ped1,ped,661.5526201193227,561.8618258349696,0.8968138782685856,g2,1.0,0
131,ped2,ped,594.6975036128582,293.8410987830692,0.8173236604650609,g0,61.4,1
131,ped3,ped,791.8716583858621,495.7099754164881,0.9426110654691162,g2,7.8,0
131,ped4,ped,514.5150778283075,528.1171898769564,1.0250131004734753,g0,0.9,0
131,veh1,veh,628.4312085748091,475.9020240439567,12.517853271918215,g0,4.0,0
131,veh2,veh,676.883454667005,560.363311896488,6.986188394436613,g2,1.5,0
131,veh3,veh,833.2330014685125,347.6094380506951,8.847026870065338,g2,3.3,0
132,ped0,ped,370.68300541424327,446.08302822233014,0.642736536655866,g0,-0.4,0
132,ped1,ped,662.4821901787828,561.5468570091098,0.9815307596564526,g2,1.0,0
132,ped2,ped,594.8052658856027,294.65701313384943,0.8210458875776062,g0,61.5,1
132,ped3,ped,791.5676538129183,494.75747742854685,1.0078346347124896,g2,7.7,0
132,ped4,ped,517.0800174140475,527.5748584221575,0.8973511833030756,g0,0.9,0
132,veh1,veh,618.9400187104453,485.4514620997332,13.596860030553147,g0,3.5,0
